培训机构名称,所属区,联系地址,联系电话,办学质量和诚信等级,机构ID,项目数量
上海宏星职业技能培训学校,静安,上海市静安区共和新路1209号8幢3楼,56631966,A级,200008010171651,34
上海自力进修学院,黄浦,云南南路180号6楼,13801891844,,200008010264241,3
上海嘉定现代技术培训中心,嘉定,嘉定环城路2290号,69987755,A级,200008010316661,25
上海市嘉定建设人才职业技术培训学校,嘉定,上海市嘉定区尚学路688号2幢5层,59525173,C级,200008010319861,2
上海嘉定区成人职业技术培训中心,嘉定,上海市嘉定区金沙路280号,69990060,B级,200008010322271,29
上海外服虹桥人才服务有限公司,闵行,闵行区申昆路2377号8号楼1层101室,13524694000,,200008010441711,5
上海申伦职业技能培训中心,普陀,宜川路355号二楼,36050170/36050127,B级,200008010645121,17
上海市松江大成教育培训中心,松江,上海市松江区人民北路925号,18049707773,C级,200008010695141,15
上海松江新桥职业培训中心,松江,上海市松江区新桥镇新南街22号,57641150,A级,200008010716691,20
上海交运汽车修理职业技能培训中心,普陀,谈家渡路18号,62443711,B级,200008010762421,13
上海文峰职业技能培训学校,普陀,上海普陀区绥德路650号1号楼3-4层,50330746,C级,200008010777491,5
上海电子商务职业培训中心,长宁,上海市长宁区仙霞路350号美华4层405室、409室、410室、411室,64740912,B级,200008010797661,2
上海燃气职业技术培训学校,虹口,虹口区水电路1277号4楼,18918125871,,200008010844601,1
上海市黄浦商业人才培训中心,黄浦,上海市黄浦区延安东路205号101、228、309、311、316、318室,53580046,A级,200112300041811,8
上海江南职业技能培训中心,虹口,上海市虹口区保定路22号,65456087,A级,200112300041881,5
上海商贸旅游职业技能培训中心,黄浦,贵州路189号,63225198,A级,200112300041911,2
上海养老护理职业培训中心,黄浦,盛泽路8号四层,53531011,C级,200112300041971,1
上海交通职业技能培训学校,宝山,上海市宝山区呼兰路763、883号,56990613,A级,200112300041991,5
上海绿化职业技能培训中心,徐汇,上中西路145号320、324、406、408、412、415-417、420等,54360104,,200112300042021,5
上海黄浦区业达职业技能培训中心,黄浦,建国西路154号,64371625,A级,200112300042041,22
上海黄浦区钟华职业技术培训中心,黄浦,上海市黄浦区打浦路303弄16号,63052852,A级,200112300042061,12
上海上汽职业技术培训学校,虹口,虹口同嘉路79号,56668571,B级,200112300042161,13
上海宝山区人才学院,宝山,上海市宝山区友谊路327号,56602053/56692343,A级,200112300042191,53
上海锦华职业技术进修学校,黄浦,上海市黄浦区鲁班路286号C503室、606室、609室,53828845,A级,200112300042221,9
上海黄浦区文华职业技术培训学校,黄浦,丽园路700号三楼,53065993,B级,200112300042241,12
上海市浦东上船职业技术学校,浦东,浦东康花路128号2-4幢,13501738537,A级,200112300042281,22
上海市浦东沪东中华职业技能培训中心,浦东,金桥路555号,50380424,A级,200112300042291,15
上海浦东新区上菱职业技术培训中心,浦东,上海市浦东新区三林路200号4号楼,58811880,A级,200112300042311,8
上海浦东新区高桥职业技能培训中心,浦东,上海浦东新区外高桥季景路206号,13601956529,,200112300042321,1
上海隧道职业技能培训中心,徐汇,枫林路14弄1号201、202室,13601865302,C级,200112300042371,2
上海市浦东特种设备职业技能培训中心,浦东,上海市浦东新区沪南路2218号中环中心东楼603、605-609室,50799928,C级,200112300042451,4
上海浦东新区振华职业技能培训中心,浦东,浦东新区龙居路87号,13621667155,C级,200112300042481,4
上海南亚职业技术培训学校,徐汇,喜泰支路8号三号楼一楼、二楼、五楼、三楼330533093317、四楼3409等,54096697,B级,200112300042531,20
上海联盟智库职业技能培训学校,闵行,上海市闵行区申昆路2377号1幢104室,13917349702/54843772,A级,200112300042581,29
上海浦东新区梅龙镇职业技能培训学校,浦东,上海市浦东新区济明路533弄3幢6号1层105室、2幢7号1层101及102室,13816464472,A级,200112300042611,16
上海市浦东新曙光职业培训中心,浦东,上海市浦东新区三林路88弄5号楼3层,68735818,A级,200112300042671,5
上海服装行业职业技术学校,普陀,上海市普陀区长寿路652号E座302、303、308-310、313-315室,13681962066,,200112300042681,3
上海公用职业技术培训学校,徐汇,凯旋路2050号32幢（1号楼）、13幢（2号楼）、35幢（4号楼）,64163776,A级,200112300042731,7
上海飞航职业技术学校,徐汇,徐汇区沪闵路9001-3号地下一层02北1-A4、A5,64773778,A级,200112300042751,17
上海市浦东安老护理职业学校,浦东,严丰路25号4楼,15000440047,C级,200112300042761,2
