机构ID,培训机构名称,所属区,培训项目名称,培训等级
2.00E+14,上海宏星职业技能培训学校,静安,中式烹调师[S300013],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,中式烹调师[S300013],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,中式烹调师[S300013],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,中式烹调师[S300013],技师/二级
2.00E+14,上海宏星职业技能培训学校,静安,中式面点师[S300013],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,中式面点师[S300013],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,中式面点师[S300013],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,中式面点师[S300013],技师/二级
2.00E+14,上海宏星职业技能培训学校,静安,保育师[S300011],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,保育师[S300011],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,保育师[S300011],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300038],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300038],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300038],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300060],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300060],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,养老护理员[S300060],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,婴幼儿发展引导员（育婴员）[S300011],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,婴幼儿发展引导员（育婴员）[S300011],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,婴幼儿发展引导员（育婴员）[S300011],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（家庭照护员）[S300039],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（家庭照护员）[S300039],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（家庭照护员）[S300039],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（母婴护理员）[S300039],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（母婴护理员）[S300039],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,家政服务员（母婴护理员）[S300039],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,茶艺师[S300009],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,茶艺师[S300009],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,西式面点师[300017],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,西式面点师[S300013],初级/五级
2.00E+14,上海宏星职业技能培训学校,静安,西式面点师[S300013],中级/四级
2.00E+14,上海宏星职业技能培训学校,静安,西式面点师[S300013],高级/三级
2.00E+14,上海宏星职业技能培训学校,静安,评茶师[S300009],初级/五级
