code,name,price,change_pct,pe_ttm,pb,mcap_yi
000656,*ST金科,1.46,0.0,0.5,3.92,110.57
000498,山东路桥,5.31,-0.56,3.84,0.49,76.96
600015,华夏银行,6.92,0.87,4.06,0.34,1064.8
601997,贵阳银行,6.04,0.5,4.18,0.33,220.83
603323,苏农银行,4.83,0.0,4.72,0.5,97.5
601577,长沙银行,9.71,0.21,4.74,0.53,390.41
601528,瑞丰银行,4.85,0.0,4.85,0.48,84.12
601336,新华保险,57.71,-1.77,4.88,1.46,1203.51
601818,光大银行,3.15,0.32,4.92,0.37,1461.81
601186,中国铁建,6.44,-0.77,4.97,0.31,740.81
000001,平安银行,11.08,0.82,4.99,0.46,2150.14
601166,兴业银行,18.61,0.92,5.08,0.47,3938.41
002958,青农商行,2.93,0.0,5.1,0.43,159.38
600908,无锡银行,5.55,-0.72,5.24,0.53,110.96
601668,中国建筑,4.86,0.21,5.29,0.4,2008.17
002839,张家港行,4.32,-0.46,5.3,0.56,105.5
601169,北京银行,5.16,-0.19,5.32,0.38,1090.98
002807,江阴银行,4.07,-0.49,5.35,0.56,110.03
600016,民生银行,3.59,0.0,5.36,0.27,1273.09
601229,上海银行,9.3,0.43,5.45,0.52,1321.44
601128,常熟银行,7.18,-0.55,5.49,0.74,238.13
601390,中国中铁,4.79,-0.62,5.57,0.37,980.94
601601,中国太保,31.7,-1.0,5.66,0.95,2169.88
600502,安徽建工,5.25,-1.69,5.82,0.74,90.12
601998,中信银行,7.51,1.08,5.87,0.56,3061.3
600928,西安银行,3.58,-0.28,5.91,0.44,158.36
600919,江苏银行,11.5,0.97,5.98,0.8,2110.4
600926,杭州银行,16.23,-0.86,5.99,0.84,1176.51
002948,青岛银行,5.61,-1.06,5.99,0.77,197.6
601838,成都银行,19.31,1.9,6.09,0.89,818.44
600000,浦发银行,9.31,-0.11,6.17,0.41,3100.77
601009,南京银行,11.26,0.27,6.24,0.74,1392.14
601077,渝农商行,6.78,1.5,6.25,0.57,599.23
601328,交通银行,6.85,0.88,6.28,0.52,1785.96
601665,齐鲁银行,6.21,-0.32,6.47,0.76,382.15
600036,招商银行,38.8,1.57,6.49,0.86,8004.03
601628,中国人寿,33.24,-1.01,6.49,1.57,6921.74
601916,浙商银行,3.07,0.33,6.5,0.46,661.41
001227,兰州银行,2.14,-0.47,6.63,0.4,90.25
000885,城发环境,13.38,-0.89,6.73,0.88,85.91
002966,苏州银行,8.28,-0.24,6.76,0.71,363.95
601658,邮储银行,5.01,-0.2,6.85,0.58,3633.64
601825,沪农商行,8.84,2.31,6.91,0.65,828.7
002142,宁波银行,31.6,0.6,6.93,0.9,2085.42
601319,中国人保,6.76,-1.17,7.02,0.94,2399.65
601398,工商银行,7.34,0.55,7.04,0.67,19789.54
600704,物产中大,4.97,-0.6,7.12,0.61,257.01
601117,中国化学,7.75,-1.15,7.22,0.69,470.39
601187,厦门银行,7.47,0.27,7.35,0.72,196.71
601963,重庆银行,11.82,-0.34,7.36,0.73,240.42
601318,中国平安,54.08,0.43,7.37,0.96,5764.96
000544,中原环保,8.1,-0.25,7.42,0.84,78.95
000913,钱江摩托,12.0,2.92,7.42,1.26,62.41
600064,南京高科,7.61,-1.81,7.46,0.67,131.68
600741,华域汽车,16.97,-0.06,7.46,0.79,535.02
000623,吉林敖东,17.33,-0.29,7.55,0.66,206.39
000651,格力电器,39.52,1.1,7.59,1.46,2182.3
601288,农业银行,6.45,-0.62,7.67,0.81,20591.25
601860,紫金银行,2.62,-0.76,7.67,0.47,93.05
000685,中山公用,11.34,-1.65,7.71,0.87,141.36
601939,建设银行,10.18,0.99,7.79,0.75,976.63
601800,中国交建,6.43,-1.38,7.82,0.36,757.69
601988,中国银行,5.97,0.67,7.84,0.7,12582.7
601717,中创智领,18.26,-0.49,7.96,1.3,281.6
600820,隧道股份,5.8,0.35,8.36,0.57,182.36
688330,宏力达,37.76,-2.43,8.38,1.2,52.86
002936,郑州银行,1.8,0.0,8.39,0.35,126.53
600018,上港集团,5.14,0.0,8.76,0.82,1194.88
600970,中材国际,8.96,-0.22,8.85,1.0,234.91
600269,赣粤高速,4.39,-0.68,9.1,0.52,102.52
601919,中远海控,14.91,0.34,9.11,0.97,1872.17
002668,TCL智家,9.59,0.42,9.22,2.87,103.97
600987,航民股份,6.68,0.0,9.24,1.04,68.19
600210,紫江企业,6.66,-0.45,9.3,1.46,101.01
000987,越秀资本,7.86,-1.38,9.48,1.18,394.05
000776,广发证券,18.99,-0.05,9.49,1.08,1121.18
601688,华泰证券,18.61,0.43,9.58,0.94,1359.79
002736,国信证券,10.17,0.2,9.6,1.04,977.58
600861,北京人力,14.43,-0.96,9.71,1.08,77.46
002588,史丹利,9.16,-1.29,9.71,1.34,78.65
600720,中交设计,6.08,-2.25,9.74,0.87,61.35
601156,东航物流,16.76,-1.59,9.78,1.32,158.31
601669,中国电建,5.3,-1.67,9.78,0.62,692.79
000719,中原传媒,13.16,-1.28,9.78,1.09,87.8
603368,柳药集团,16.35,-0.12,9.89,0.81,64.94
000543,皖能电力,9.55,-2.75,10.07,1.23,216.49
000589,贵州轮胎,4.76,-0.63,10.08,0.81,73.5
002061,浙江交科,3.65,-1.08,10.15,0.62,94.87
000902,新洋丰,13.02,-1.36,10.23,1.36,148.79
000612,焦作万方,12.22,3.74,10.26,1.99,145.69
600511,国药股份,27.42,0.15,10.28,1.09,151.73
601811,新华文轩,13.08,-0.15,10.31,1.04,103.58
605599,菜百股份,16.08,0.37,10.32,2.47,125.07
000783,长江证券,7.84,-1.38,10.32,1.18,433.56
002572,索菲亚,9.13,-3.08,10.34,1.33,59.48
600968,海油发展,4.0,-1.23,10.35,1.35,406.6
600033,福建高速,3.62,-0.82,10.37,0.79,99.35
600757,长江传媒,8.11,-0.25,10.38,0.95,98.41
600874,创业环保,5.85,-0.68,10.39,0.87,71.98
601900,南方传媒,12.11,-2.26,10.44,1.17,106.81
000600,建投能源,11.8,-3.36,10.46,1.71,128.63
600039,四川路桥,8.48,0.12,10.51,1.39,737.39
601607,上海医药,16.5,0.36,10.53,0.79,460.22
601881,中国银河,12.38,0.24,10.56,1.12,896.74
000598,兴蓉环境,7.17,0.42,10.57,1.06,213.61
600690,海尔智家,21.13,0.24,10.59,1.58,1321.26
600894,广日股份,8.85,-0.11,10.6,0.85,74.62
600639,浦东金桥,9.86,-1.6,10.61,0.73,83.83
300926,博俊科技,20.22,1.76,10.66,2.49,60.25
600713,南京医药,5.08,-0.78,10.69,0.9,65.52
600096,云天化,31.07,0.19,10.71,2.37,566.4
600062,华润双鹤,16.96,0.41,10.84,1.45,176.08
600710,苏美达,11.44,-0.95,10.9,1.75,149.49
601598,中国外运,6.18,1.15,10.92,1.06,318.73
600461,洪城环境,10.04,-2.62,10.95,1.26,128.93
601677,明泰铝业,19.68,3.2,11.01,1.24,244.68
002546,新联电子,7.42,-2.5,11.01,1.63,59.45
600282,南钢股份,5.16,3.2,11.02,1.16,318.12
600483,福能股份,11.38,-1.56,11.08,1.14,316.38
600873,梅花生物,9.44,0.32,11.12,1.61,264.72
000686,东北证券,7.93,-0.5,11.18,0.91,185.6
300773,拉卡拉,23.97,-2.56,11.18,3.82,176.07
600999,招商证券,17.13,0.06,11.19,1.2,1271.39
600030,中信证券,25.58,-0.35,11.25,1.3,3114.76
000404,长虹华意,8.25,-0.36,11.26,1.3,57.15
000166,申万宏源,4.46,0.68,11.3,0.97,1005.08
002170,芭田股份,11.85,-2.23,11.34,3.29,93.27
600612,老凤祥,36.65,-0.41,11.35,1.4,116.22
601827,三峰环境,8.52,-0.7,11.38,1.14,142.45
603889,新澳股份,6.02,-1.31,11.45,1.61,56.72
000563,陕国投Ａ,3.0,-0.66,11.49,0.84,153.42
600368,五洲交通,3.99,0.0,11.51,0.87,64.23
603565,中谷物流,10.88,1.78,11.53,2.18,228.49
600694,大商股份,15.23,-2.5,11.54,0.66,57.69
600023,浙能电力,6.39,-4.63,11.58,1.11,856.82
601163,三角轮胎,14.11,-0.84,11.58,0.8,112.88
601298,青岛港,9.36,-0.32,11.59,1.29,504.7
601326,秦港股份,3.35,-1.18,11.6,0.9,159.38
002091,江苏国泰,9.0,-0.11,11.6,0.92,143.84
000708,中信特钢,13.94,-0.99,11.62,1.66,703.57
002608,江苏国信,10.42,2.96,11.64,1.1,393.68
002867,周大生,12.3,-1.91,11.67,1.97,132.73
601555,东吴证券,7.93,-0.13,11.68,0.9,394.02
600098,广州发展,8.02,-0.25,11.7,1.01,281.17
603529,爱玛科技,21.91,-1.88,11.7,2.02,185.7
600901,江苏金租,6.66,2.62,11.72,1.49,385.64
002078,太阳纸业,13.72,-1.65,11.72,1.23,381.05
000528,柳    工,8.98,-0.88,11.74,0.96,182.67
002215,诺 普 信,9.07,-1.84,11.74,1.99,72.83
600273,嘉化能源,7.31,-2.27,11.75,0.97,95.86
000828,东莞控股,10.11,-1.08,11.82,1.04,105.1
601058,赛轮轮胎,12.75,0.63,11.84,1.87,419.23
600323,瀚蓝环境,31.0,-1.34,11.86,1.66,252.76
000028,国药一致,23.39,-0.97,11.88,0.69,111.82
000527,美的电器,14.02,0.0,11.88,2.1,474.49
001872,招商港口,22.29,0.32,11.89,0.84,513.12
